question,correct,false
How does made-to-order operate?,accept individual customized orders,"['It produces large batches of standardized products.', 'It relies heavily on forecasting future demand.', 'It uses a just-in-case inventory system.']"
How does mass production operate?,large volume of similar goods produced in a uniform standard,"['Through individualized crafting of each item.', 'By producing a large volume of similar goods in a uniform standard.', 'Using only handmade techniques.', 'With a focus on highly customized orders.']"
How does mass customization operate?,provide several options,"['By producing a large volume of standardized products and then offering a limited number of customization options.', 'By utilizing flexible manufacturing systems to produce unique products based on individual customer specifications.', 'By outsourcing the customization process to independent contractors.', 'By offering a pre-designed range of products with fixed customization options.', 'By creating a large number of similar products with minor variations tailored to specific customer groups.']"
What is quality?,Ensure a product is free of defects,"['Meeting customer expectations', 'Conformance to specifications', 'Achieving high profitability']"
What is the International Organization for Standard?,body that shares best practices in management and production,"['A global network of national standards bodies.', 'An international treaty on environmental protection.', 'A financial institution providing loans to developing countries.', 'A United Nations agency focused on sustainable development.']"
What are the benefits of standards?,Help government regulation create growth ,"['Increased efficiency and interoperability.', 'Reduced costs and improved quality.', 'Enhanced safety and security.', 'All of the above.', 'None of the above.']"
How can a company recieve an ISO certification?,via an audit,"['By submitting a completed application form.', 'Through a successful audit by an accredited certification body.', 'By paying a fee to the ISO organization.', 'By meeting the minimum requirements outlined on the ISO website.', 'By having a company representative attend a certification seminar.']"
What is Total Quality Management?,continually improve standards,"['A system for measuring employee performance.', 'A method for continually improving standards.', 'A technique for streamlining production processes.', 'A strategy for reducing manufacturing costs.']"
What is Supply Chain Management?,move product from raws to customer delivery,"['The process of planning implementing and controlling the flow of goods services and information from origin to consumption.', 'The management of inventory levels within a warehouse.', 'The strategic sourcing of raw materials.', 'The marketing and sales of finished products.']"
What are the considerations for Supply Chain management?,optimal partners reduced costs timely flexible ,"['Optimal partners', 'Reduced costs', 'Timely delivery', 'Flexible operations', 'All of the above']"
How can a supply chain be sustainable?,reduce steps choose renewable energy source to minorities,"['Reduce steps in the supply chain.', 'Choose renewable energy sources.', 'Support minority-owned businesses.', 'All of the above.']"
What can mertics help with?,ensure project is timely and on budget,"['Improving team communication', 'Ensuring the project is timely and on budget', 'Increasing employee satisfaction', 'Boosting company morale']"
What does PERT standard for?,Program Evaluation and Review Technique,"['Project Estimation and Resource Technique', 'Performance Evaluation and Reporting Technique', 'Process Evaluation and Revision Technique']"
What can PERT do for you?,estimate project time by considering relations between tasks,"['Improve team communication', 'Track project expenses', 'Manage project risks']"
What are the four steps to PERT in order?,identify tasks estimate completion time sequence tasks critical path,"['Define tasks sequence tasks estimate completion time identify critical path', 'Sequence tasks define tasks identify critical path estimate completion time', 'Estimate completion time define tasks sequence tasks identify critical path', 'Identify critical path sequence tasks estimate completion time define tasks']"
What is the critical path?,the task with the longest completion time,"['The path with the most tasks.', 'The path with the longest completion time.', 'The path with the most dependencies.', 'The shortest path through the project network.']"
What does a Gantt Chart do?,measure stage of completion of tasks,"['Visually represents the schedule of a project.', ""Calculates the project's budget."", 'Tracks resource allocation.', 'Defines project scope.', 'Measures the stage of completion of tasks.']"
What does a Gantt Chart show?,% completion tasks to complete and WIP,"['Project schedule and task dependencies', 'Resource allocation and costs', 'Risk assessment and mitigation strategies', 'Stakeholder communication plan']"
What are the benefits of R&D?,increase competitiveness by improving product quality,"['Increased market share', 'Enhanced brand reputation', 'Improved product quality', 'Higher profitability', 'All of the above']"
What is Lean Manufacturing?,provide product/service with minimum resources,"['A systematic method for minimizing waste in manufacturing.', 'A philosophy focused on maximizing production speed regardless of resource usage.', 'A process for increasing inventory levels to meet unexpected demand.', 'A strategy for outsourcing all manufacturing processes.', 'A system for improving employee morale through increased wages.']"
What is Computer-Aided Design?,2d/3d modelling products or parts,"['Software for managing databases', '2D/3D modelling of products or parts', 'A programming language for web development', 'A type of computer network']"
What is Computer-Aided Manufacturing?,Using tech to create manufacturing processes,"['Using computers to design products.', 'Using robots in factories.', 'Automating quality control checks.']"
What is computer-integrated manufacturing?,combined CAD and CAM,"['The use of computers to control and monitor all aspects of manufacturing.', 'A system that integrates various manufacturing processes using computer networks.', 'The combined use of computer-aided design (CAD) and computer-aided manufacturing (CAM) software.', 'A method of streamlining production through the elimination of human intervention.']"
How can software assist with Operations?,track inventory finances and employee details,"['Improve communication only.', 'Automate marketing campaigns only.', 'Enhance customer service only.']"
What is an Enterprise Resource Planning System?,info database that connects departments to manage key functions,"['A software application that integrates all facets of a business.', 'A standalone database system for a single department.', 'A type of customer relationship management (CRM) software.', 'A hardware system for managing physical inventory.']"
What is the goal of Human Resource Management?,attract and retain talent,"['Maximize profits.', 'Improve employee productivity.', 'Increase shareholder value.']"
Who might perform HR at a smaller company?,finance manager,"['A dedicated HR manager', 'The CEO', 'An outsourced HR firm']"
What is the employee lifecycle?,How employees move through a company,"['The process of onboarding new hires.', 'The period an employee works for a company.', 'The stages of employee performance evaluation.', ""The company's internal communication system.""]"
What is the importance of a good employee experience?,build company reputation,"['Increased employee productivity', 'Improved employee retention', 'Enhanced company reputation', 'Stronger company culture']"
What are the five steps to recruitment?,job description recruiting tools initial screening interview job offer,"['Initial Screening Job Description Interview Recruiting Tools Job Offer', 'Recruiting Tools Job Description Initial Screening Interview Job Offer', 'Job Description Initial Screening Recruiting Tools Interview Job Offer', 'Interview Job Description Initial Screening Recruiting Tools Job Offer']"
What is the goal of recruitment?,To attract and select quality talent,"['To fill open positions quickly.', 'To reduce employee turnover.', 'To improve company morale.']"
What might be included in a job description?,responsibilities working conditions qualifications,"['Responsibilities', 'Working Conditions', 'Qualifications', 'All of the above']"
What is an Internal recruiting tool?,look within company to fill position,"['A software used to post jobs on external job boards.', 'A system for tracking applicant progress through the hiring process.', 'A process of looking within the company to fill a position.', 'A method for outsourcing the recruitment process.']"
What are some External recruiting tools?,universities company websites social media job boards advertising employment agencies word of mouth,"['Company websites social media job boards and advertising', 'Employment agencies social media word of mouth and universities', 'Job boards advertising employment agencies and company websites', 'All of the above']"
What are the four main initial screenings?,software phone interviews review social media background checks,"['Phone interviews', 'Software', 'Review', 'Social Media', 'Background checks']"
What are some software screenings?,scan resume for keywords or questionnaires,"['Scan resume for keywords', 'Questionnaires', 'Both A and B', 'None of the above']"
What might be checked in a background check?,degrees experience police checks,"['Education and degrees', 'Employment history and experience', 'Criminal records and police checks', 'All of the above']"
What are considerations for an Interview?,facilities how to evaluate who is present,"['Logistics (location time technology) and interviewer/interviewee preparation.', 'Candidate qualifications and experience relative to the job description.', 'Legal compliance (discrimination privacy) and ethical considerations.', 'All of the above.', 'None of the above.']"
What should an interview reveal about the applicant?,ability personality motivation ,"['Solution ability', 'Personality', 'Motivation', 'All of the above']"
How might an interview evaluate the ability of the applicant?,Employee Assessments either verbal or written,"['Behavioral questions', 'Technical skills tests', 'Personality assessments', 'All of the above', 'None of the above']"
What is the goal of onboarding?,teach about organization responsibilities and team,"['To ensure employees understand their roles and responsibilities.', 'To integrate new hires into the company culture.', 'To facilitate the completion of necessary paperwork.', 'To help new hires meet their performance goals quickly.', 'All of the above']"
What might be communicated during onboarding?,work hours code of conduct dress code workplace safety confidentiality requirements performance evaluations emergency procedures,"['Work hours code of conduct and dress code', 'Workplace safety confidentiality requirements and emergency procedures', 'Performance evaluations only', 'All of the above']"
How can a company make an applicant feel welcomed?,treat them as a full time employee,"['Providing a thorough company overview and benefits package before the interview.', 'Responding promptly to all communication and scheduling interviews efficiently.', 'Offering a competitive salary and generous benefits package.', 'Treating them as a full-time employee from the moment they apply.', 'Making the interview process challenging to assess their capabilities.']"
What is the purpose of development?,To train employees,"['To improve employee skills and knowledge.', 'To increase company profits.', 'To meet regulatory requirements.', 'To boost employee morale.']"
What should be the effect of development on employees?,raise satisfaction productivity and empowers them,"['Increased stress and burnout', 'Decreased morale and engagement', 'No significant change in employee well-being']"
What are the five types of employee development?,On-the-Job Off-the-Job online apprenticeship job simulations,"['On-the-Job Training Off-the-Job Training Mentoring Coaching Job Shadowing', 'Formal Training Informal Training Experiential Learning Mentoring Coaching', 'Job Rotation Job Enrichment Skill Development Career Planning Performance Management']"
What is On-the-job training?,learn by doing or watching,"['Learning new skills through formal classroom instruction.', 'Learning by doing or watching.', 'Receiving training materials via email.', 'Attending online webinars.']"
What is the breakdown of the 10-20-70 rule?,10% classroom 20% mentoring 70% on the job,"['10% planning 20% execution 70% review', '10% classroom 20% mentoring 70% on-the-job', '10% reading 20% writing 70% speaking', '10% individual work 20% group work 70% presentations']"
What is off-the-job training?,training offsite from industry experts,"[""Training conducted at the employee's workplace."", ""Training provided by the employee's supervisor."", ""Training that takes place away from the employee's regular work location."", 'Training focused solely on on-the-job skills.']"
What are the benefits of online training?,convenient and cost effective,"['Increased accessibility and convenience', 'Reduced costs and improved efficiency', 'Consistent and standardized training delivery', 'All of the above', 'None of the above']"
What is an apprenticeship>,masters teach new staff,"['A form of on-the-job training.', 'A type of university degree.', 'A mentorship program for executives.', 'A short-term skills course.']"
What is a job simulation?,utilise equipment to recreate work scenarios,"['A role-playing exercise.', 'A presentation about a job.', 'A computerized test of aptitude.', 'Utilize equipment to recreate work scenarios.', 'An interview with a current employee.']"
What is the importance of leadership training?,leadership skills not linked to technical skills,"['Improves technical expertise.', 'Enhances communication and team building.', 'Increases proficiency in specific software.', 'Boosts individual productivity on assigned tasks.', 'Improves knowledge of industry regulations.']"
How are employees promoted?,technical expertise skills,"['Merit-based performance reviews', 'Seniority', 'Networking and relationships', 'Technical expertise and skills']"
What are the three forms of leadership development?,coaching understudy job rotation,"['Coaching Mentoring Job Shadowing', 'Mentoring Job Shadowing On-the-Job Training', 'On-the-Job Training  Formal Courses Simulations']"
What is Coaching?,one on one conversations to guide development,"['A form of performance management.', 'One-on-one conversations to guide development.', 'A type of training program.', 'Simply giving advice.']"
What is Understudy?,aide to leader take responsibilities,"['A person trained to take over a role in a play or other performance if the original performer is unable to perform.', 'A person who assists the leader in managing a team.', 'A person who shadows a leader to learn their skills.', ""A person who observes and reports on the leader's performance.""]"
What is Job rotation?,exposure to different jobs,"['Working on the same job for an extended period.', 'A permanent transfer to a new department.', 'Receiving specialized training in one skill.']"
What is the importance of performance evaluation?,inform training needs,"['Identifying high-performing employees for promotions.', 'Ensuring accountability and improving employee performance.', 'Determining training needs and development opportunities.', 'Facilitating fair compensation and reward systems.', 'All of the above.']"
How can performance evaluations be emphasized?,Set time for evaluations,"['Use standardized forms', 'Provide regular feedback', 'All of the above']"
What are the four steps to performance evaluations?,establish standards evaluate share results make decisions,"['Evaluate share results make decisions establish standards', 'Share results make decisions establish standards evaluate', 'Make decisions establish standards evaluate share results']"
How should evaluations be conducted?,consult stakeholders around evaluated employee,"['Formally using only written documentation.', ""Informally based solely on the evaluator's perception."", 'Through a standardized top-down process.', 'By consulting stakeholders around the evaluated employee.', 'Secretly to avoid bias.']"
What decisions might be made based on performance evaluations?,training promotions more benefits,"['Training', 'Promotions', 'More Benefits', 'All of the above']"
What is the importance of employee retention?,motivate retain talent retain developed skills,"['Reduced recruitment costs', 'Maintained productivity and efficiency', 'Improved employee morale and engagement', 'All of the above']"
What are the primary motivating factors for employees?,pay career opportunities organization reputation,"['Pay', 'Career Opportunities', 'Organization Reputation', 'All of the above']"
What are the four ways to retain employees?,compensation perks benefits arrangements,"['Compensation Perks Benefits Training', 'Salary Bonuses Incentives Promotions', 'Culture  Communication  Career Development  Compensation']"
What is employee compensation?,pay,"['The total amount an employee earns including salary wages and benefits.', 'Only the base salary paid to an employee.', ""The value of an employee's contributions to the company."", 'The performance rating given to an employee.']"
What are the different ways employees might be compensated?,hourly wage salaries commission plans bonus plans stock options,"['Hourly wage', 'Salaries', 'Commission plans', 'Bonus plans', 'Stock options']"
What is an hourly wage?,pay by hour usually for entry level,"['The total amount earned in a year.', 'A fixed salary paid regardless of hours worked.', 'Pay by hour usually for entry-level positions.', 'A percentage of sales earned.', 'A lump sum payment for a completed project.']"
What is a Salary?,yearly pay based on performance,"['A fixed amount of money paid regularly to an employee.', 'The total amount of money earned in a year.', 'Hourly pay rate multiplied by hours worked.']"
What are commission plans?,pay based on targets,"['A fixed salary paid regardless of performance.', 'A pay structure based on targets achieved.', 'A system of paying employees based on seniority.', 'A benefits package offered to all employees.']"
What are bonus plans?,pay increases if targets met,"['A system for rewarding employees based on seniority.', 'A method of setting employee salaries based on industry standards.', 'Pay increases if targets are met.', 'A standardized performance review process.']"
What are stock options?,ability to buy stock at set price,"['A right but not an obligation to buy or sell a stock at a predetermined price on or before a certain date.', 'A type of debt instrument issued by a company.', 'A share of ownership in a company.', 'A prediction of future stock prices.']"
What employee benefits are mandated by law?,holiday pay pension contributions insurance,"['Holiday pay', 'Pension contributions', 'Insurance', 'All of the above']"
What are fringe benefits?,not mandated such as health insurance,"['Additional compensation beyond salary or wages.', ""Mandatory deductions from an employee's paycheck."", 'Profit sharing schemes only.', 'Overtime pay and bonuses.']"
What are Cafeteria style benefit plans?,employees select benefits they prefer ,"['Employees receive a set benefits package.', 'Employees select benefits they prefer.', ""Benefits are determined by the employee's salary."", 'Benefits are based on a predetermined formula.']"
What are some examples of workplace perks?,snacks meals gyms,"['Snacks and meals', 'On-site gym or fitness center', 'Paid time off', 'All of the above']"
What do Work arrangements help with?,work-life balance,"['Increased productivity', 'Improved employee morale', 'Reduced workplace stress']"
What are some examples of work arrangements?,flextime plans compressed work week telework,"['Flextime plans', 'Compressed work week', 'Telework', 'All of the above']"
What are flextime plans?,different work hours if on at core times,"['Flexible work schedules allowing employees to choose their start and end times within a set range.', 'A system where employees work a set number of hours per week but can adjust their daily schedule.', 'A plan that requires employees to work a core set of hours each day with flexibility around other hours.', 'Pre-set work schedules with no flexibility.']"
What is the compressed work week?w,work less days but same hours in total,"['Working fewer hours per day but maintaining the same total weekly hours.', 'Working fewer days but the same total weekly hours.', ""Working more hours per day to finish the week's work early."", 'Working the same number of days and hours as a standard work week.']"
What is telework?,remote work,"['Working from a central office', 'Working from a remote location', 'Working only during specific hours', 'Working exclusively on-site']"
What is Offboarding?,employee leaving company,"['The process of integrating a new employee into the company.', 'The process of an employee leaving a company.', 'The process of assigning new tasks to employees.', 'The process of evaluating employee performance.']"
What is Offboarding disadvantageous to a company?,costly to train severance pay,"['Loss of institutional knowledge', 'Decreased productivity', 'Costly to train replacements', 'Severance pay', 'All of the above']"
Why is it important for offboarding to be a postive experience?,past employees are ambassadors for the company,"['To avoid legal repercussions.', 'To maintain a positive company image.', 'To ensure smooth transitions within the company.', 'To facilitate future re-hiring opportunities.']"
What are the three types of off-boarding?,End of term Voluntary Termination,"['Resignation Retirement Layoff', 'Exit Interview Final Paycheck Return of Company Property', 'Performance Improvement Plan Disciplinary Action Separation Agreement']"
What is End of Term offboarding?,contract ends,"['A process for transitioning employees to new roles within the company.', 'A performance review conducted at the end of a specific project.', 'A structured process for managing the departure of employees at the end of their contract or employment.', 'A system for tracking employee vacation time.']"
What are Voluntary Departures?,quitting or retirement,"['Resignation', 'Retirement', 'Dismissal', 'Layoff', 'Termination for cause']"
What is a Turnover Rate?,% of employees leaving per year,"['The average number of employees hired per year.', 'The percentage of employees leaving a company per year.', 'The total number of employees working for a company.', 'The average salary of employees in a company.']"
A company should investigate if Turnover Rates are above industry averages,true,['False']
What are Exit Interviews used for?,see why employees leave,"[""To gather feedback on the company's products or services."", 'To plan future hiring strategies.', 'To evaluate employee performance.']"
How can a company manage retirements?,understand timeline to have succession plans,"['Develop detailed retirement plans for each employee well in advance.', 'Offer early retirement incentives to reduce the number of retirees.', 'Implement a robust succession planning process.', 'Conduct regular retirement readiness workshops for employees.', 'All of the above']"
What is knowledge management?,capture skills and best practices from employees,"['The systematic creation sharing use and management of valuable information and intellectual capital within an organization.', 'The process of gathering and storing data for future reference.', 'A set of IT tools designed to improve document retrieval.', 'The exclusive responsibility of senior management.', 'The process of only documenting best practices.']"
What are causes for Termination?,company reorganization or saving costs,"['Company reorganization', 'Saving costs', 'Employee misconduct', 'All of the above']"
What are considerations in Termination>,help find new job monitor for low morale,"['Financial implications and severance packages.', 'Legal compliance and potential lawsuits.', 'Employee morale and its impact on remaining staff.', 'All of the above.']"
Who should know about HR legislation?,department managers HR,"['HR only', 'Department Managers and HR', 'All Employees', 'Senior Management only']"
What are the three types of HR legislation?,employee standards workplace safety employment equity,"['Compensation benefits performance management', 'Recruitment selection training', 'Labor relations disciplinary action grievance procedures']"
What are conditions governed by Employment Standards?,minimum wages annual vacation overtime work hours,"['Minimum wages', 'Annual vacation', 'Overtime', 'Work hours', 'All of the above']"
What is the trend in Workforce Demographics?,multigenerational workforce with variety of career goals ,"['Increasing homogeneity in skills and experience.', 'A decline in the overall workforce size.', 'Multigenerational workforce with a variety of career goals.', 'A shrinking number of women in the workforce.']"
What is the importance of rising workplace diversity?,leadership and company should reflect diversity of customers provide more perspectives,"['Increased profitability', 'Improved employee morale', 'Enhanced creativity and innovation', 'All of the above']"
What is Internal Equity?,All employees in the firm are paid fairly,"['All employees receive the same salary.', 'Pay is competitive with external market rates.', 'Senior employees always earn more than junior employees.']"
What is External Equity?,employees have similar pay to competition or the rest of the industry,"['Internal consistency of pay structures.', ""Employees' pay relative to their internal worth to the organization."", ""Employees' pay compared to similar jobs in other organizations."", 'Fairness of the pay system to all employees within the organization.']"
What is pay equity?,Equal work based on neutral criteria,"['Equal pay for equal work regardless of gender.', 'Equal pay for all employees regardless of performance.', 'Equal opportunities for promotion regardless of pay.']"
What is a consequence of changing technology?,retrain workers to adapt,"['Increased unemployment', 'Higher production costs', 'Decreased innovation', 'Reduced market competition']"
What is the Shift in employee attitudes?,want flexibility and worklife balance willing to change jobs for growht,"['Increased loyalty and decreased job hopping.', 'Greater emphasis on compensation over benefits.', 'A desire for flexibility and work-life balance coupled with a willingness to change jobs for growth opportunities.', 'Reduced concern for company culture and values.']"
What are contigent workers?,non-full time workers to complete a small project; cost effective,"['Non-permanent employees hired for specific projects.', 'Full-time employees working on multiple projects simultaneously.', 'Part-time employees with long-term contracts.', 'Independent contractors working exclusively for one company.', 'Employees working remotely on a permanent basis.']"
What is a result of global workforce?,manage cultural differences,"['Increased competition', 'Enhanced innovation', 'Improved communication', 'Reduced costs']"
What is a Credit Score?,financial reputation,"['A measure of your debt-to-income ratio.', 'The total amount of money you owe.', 'Your annual income.']"
What does a good credit score help with?,loaning at good rates,"['Getting a job', 'Buying a house at a good price', 'Traveling internationally']"
How do you build a good credit score?,pay bills or minimum amount stay within limit,"['Pay bills on time and in full.', 'Pay only the minimum amount due on bills.', 'Stay within your credit limit.', 'Exceed your credit limit regularly.']"
What is the Time Value of Money?,money in present worth more than in the future,"['Money received today is worth more than the same amount received in the future.', 'Money received in the future is worth more than the same amount received today.', 'Money received today and in the future have equal value.', 'The value of money is unaffected by time.']"
4,a,"['8', '4', '2']"
What is compound interest?,interest earns more interest,"['Interest earned only on the principal amount.', 'Interest calculated only once at the end of the term.', 'A fixed amount of interest paid regularly.']"
What is financial literacy?,ability to make informed monetary decisions,"['Having a high income', 'Owning a lot of assets', 'Understanding complex financial instruments']"
What are some barriers to financial literacy?,acronyms,"['Lack of Access to Education', 'Complexity of Financial Products', 'Cultural and Societal Factors', 'Low Levels of Numeracy', 'All of the above']"
What does a company have to manage regarding finances?,incomes expenses debt goals,"['Incomes expenses debt and goals', 'Only incomes and expenses', 'Only debt and goals', 'Only incomes and goals']"
What groups might manage finances in a company?,treasury for cashflows budgeting group accounting group,"['Treasury', 'Budgeting group', 'Accounting group', 'All of the above']"
What are the four Cs of credit?,character capacity capital conditions,"['Collateral Capacity Capital Conditions', 'Character Capacity Collateral Conditions', 'Character Capacity Capital Cost']"
What is considered in the character of a company?,size location age structure,"['size', 'location', 'age', 'structure', 'All of the above']"
What is considered in the capacity of a company?,cashflows and existing debt,"['Cash flows only', 'Existing debt only', 'Cash flows and existing debt', 'Market capitalization only', 'Number of employees only']"
What is considered in the capital of a company?,assets held by a company,"['Total revenue generated', 'Number of employees', 'Market capitalization']"
What is considered in the conditions of a company?,the business environment,"['Financial resources', 'Business environment', 'Management structure', 'Technological capabilities']"
What is financial planning?,Manage future and daily operations by analyzing short and long term goals,"['Managing current assets and liabilities.', 'Predicting future market trends.', 'Investing in high-risk high-reward ventures.']"
What are the three steps to financial planning?,develop forecasts develop budgets financial controls,"['Develop forecasts develop budgets implement financial controls', 'Develop forecasts develop budgets financial analysis', 'Budgeting forecasting and financial statement analysis', 'Financial statement analysis budgeting and financial controls']"
What is forecasting?,predict future production and expenses to manage resources accordingly to avoid shortages,"['Predicting future events with certainty.', 'Analyzing past data to understand current trends.', 'Predicting future production and expenses to manage resources accordingly to avoid shortages.', 'A method for controlling current production levels.']"
What factors are used to inform a forecast?,past performance expense changes new and unrenewed contracts customer growth,"['Past performance', 'Expense changes', 'New and unrenewed contracts', 'Customer growth', 'All of the above']"
What is a Short Term Forecast?,predicts cashflows (expenses and revenue) within a year,"[""A prediction of long-term trends in a company's financial performance."", ""A projection of a company's financial health over a period of several years."", 'A detailed analysis of past financial performance to inform future strategies.', 'A prediction of cashflows (expenses and revenue) within a year.']"
What is a Long Term Forecast?,predicts revenue and expenses beyond a year to plan for larger investments,"['A prediction of sales for the next quarter.', 'A detailed analysis of current market trends.', 'A financial projection for the next fiscal year.', 'A prediction of revenue and expenses beyond a year to plan for larger investments.']"
Why are forecasts long into the future unreliable?,business environment changes rapidly,"['Data limitations hinder accurate predictions.', 'Forecasting models are inherently flawed.', 'Human error in data collection and analysis is significant.']"
What does budgeting entail?,allocate funds to operations or larger purchases,"['Forecasting future income and expenses.', 'Tracking and analyzing past financial performance.', 'Allocating funds to operations or larger purchases.', 'All of the above.']"
How migh departments affect the budget?,propose projects that consumes resources,"['Propose projects that consume resources', 'Reduce departmental spending', 'Increase revenue generation', 'Improve efficiency and reduce waste', 'All of the above']"
What are the three types of budgets?,operating budget cash budget and capital budget,"['Operating budget cash budget capital budget', 'Sales budget production budget master budget', 'Static budget flexible budget zero-based budget', 'Long-term budget short-term budget mid-term budget']"
What is an Operating Budget?,allocate for ongoing expenses within 1 year,"['A long-term financial plan for capital investments.', 'A forecast of sales and production for the next five years.', 'A plan that allocates resources for ongoing expenses within one year.', 'An analysis of past financial performance.']"
What is a Cash Budget?,plan to borrow or invest based on cashflows within 1 period,"['A projection of future sales and expenses.', 'A detailed plan of expected cash inflows and outflows over a specific period.', ""A summary of a company's assets and liabilities."", 'A record of past cash transactions.']"
What does a Capital Budget entail?,cashflows for periods longer than a year to plan for larger purchases,"['Cash flows for periods longer than a year to plan for larger purchases.', ""A summary of a company's assets and liabilities."", 'A detailed list of all operating expenses for the year.', 'Short-term financing options for immediate operational needs.']"
What is the goal of financial controls?,adjust plans to meet the budget,"['To ensure accurate financial reporting.', 'To prevent fraud and embezzlement.', 'To maximize profitability.', 'To improve efficiency and effectiveness.']"
How often should companies control their finances?,depends; some have weekly to prevent monthly divergences others allow for more divergence,"['Daily', 'Weekly', 'Monthly', 'Quarterly', 'Annually', 'It depends']"
What is the importance of managing cash flows?,hold cash for operations and pay bills,"['To ensure business survival and growth.', 'To improve profitability and shareholder value.', 'To secure funding and attract investors.', 'All of the above.']"
What is Undercapitalization?,lacking funds to support operations,"['Insufficient revenue streams.', 'Excessive debt burden.', 'Poor management decisions.']"
Undercapitalization is a common issue for...,new and small businesses,"['Large established corporations', 'Government agencies', 'Non-profit organizations', 'Multinational conglomerates']"
What is the objective of cash management?,money available to pay expenses,"['Maximizing cash balances.', 'Minimizing cash balances.', 'Maintaining sufficient cash to meet obligations.', 'Investing excess cash for maximum return.']"
What is meant by insolvent?,assets are not in cash so cannot pay debts,"['Unable to pay debts.', 'Having excessive assets.', 'Possessing high liquidity.', 'Generating substantial profits.']"
How can a company avoid being insolvent?,manage collection and payment times,"['Increase marketing spending.', 'Reduce production costs.', 'Issue more stock.', 'Increase salaries.']"
What are some tactics to ensure bills are paid?,immediately invoice follow ups reward early payment ,"['Invoice follow ups', 'Reward early payment', 'Set up automatic payments', 'All of the above']"
What should be included in an invoice?,product provided amount due and when,"['Product quantity price payment terms and invoice number.', 'Product price amount due and invoice date.', 'Product quantity price amount due and payment terms.', 'Product description price quantity amount due and when payment is due.']"
What is 2/10 Net 30,2% off payment if paid in first 10 days otherwise full amount due in 30 days,"['2% discount if paid within 10 days otherwise the full amount is due within 30 days.', '10% discount if paid within 2 days otherwise the full amount is due within 30 days.', '2% discount if paid within 30 days otherwise the full amount is due within 10 days.', '10% discount if paid within 30 days otherwise the full amount is due within 2 days.']"
Why do companies want to pay their suppliers later?,reuse cash in operations for as long as possible,"['To improve supplier relationships.', 'To reduce their own operating costs.', 'To increase supplier competition.', 'To comply with industry regulations.']"
What is the ideal payment cycle for a company?,collect as quickly as possible pay as late as possible,"['Collect slowly pay immediately.', 'Collect and pay at the same time.', 'Collect as late as possible pay as quickly as possible.']"
What parts of business requires funds?,daily operations and capital expenditures,"['Daily operations only', 'Capital expenditures only', 'Neither daily operations nor capital expenditures']"
"When investing in growth, what does a company have to consider?",how and costs to getting funds,"['Market conditions and competitive landscape', 'Research and development expenses', 'Hiring and training costs', 'Cost of capital and funding sources', 'All of the above']"
What are the three primary methods of funding?,savings operations debt,"['Equity Grants Loans', 'Investments Revenue Subsidies', 'Donations Leasing Mortgages']"
Money from operations is used to,pay debts reinvest pay dividends,"['pay debts', 'reinvest', 'pay dividends', 'all of the above']"
What is the advantage of using profits to finance rather than debt or equity,no added costs,"['Reduced risk of bankruptcy.', 'Increased financial leverage.', 'Greater flexibility.']"
What is Principal on debt?,amount borrowed to be repaid,"['The interest rate charged on a loan.', 'The total amount repaid including interest.', 'The length of time to repay a loan.']"
What is Interest?,money paid to reimburse time value of money,"['The principal amount of a loan.', 'The fee charged for borrowing money.', 'The total amount repaid on a loan.', 'The initial investment in a project.', 'The profit earned from an investment.']"
What is Term?,period of loan to be repaid,"['The principal amount borrowed', 'The interest rate charged', 'The length of time to repay the loan', 'The monthly payment amount', 'The collateral offered for the loan']"
How long is a Short-Term loan?,under a year,"['6 months', '1 year', '3 years', '5 years']"
How long is a Long-Term loan?,over a year,"['Less than a year', 'Exactly one year', 'Varies greatly depending on the lender']"
What is a Secured Loan?,assets are given in case of default,"['A loan backed by collateral.', 'A loan with a high interest rate.', 'A loan requiring no credit check.', 'A loan with a short repayment period.', 'A loan obtained through a credit union.']"
What is an Unsecured loan?,no collateral,"['A loan backed by collateral', 'A loan not backed by collateral', 'A loan with a fixed interest rate', 'A loan with a variable interest rate']"
What are Covenants?,conditions to be upheld during the term,"['Legally binding promises to perform or not perform certain actions.', 'Informal agreements between parties with no legal standing.', 'Suggestions or recommendations for behavior.', 'Negotiable terms that can be changed at any time.']"
How do credit cards operate?,no extra fees if loans paid off during interest free period,"['The cardholder pays interest only if the balance is not paid in full by the due date.', 'The card issuer charges a fixed percentage fee on all transactions regardless of repayment.', 'Interest is calculated daily on the outstanding balance even if paid during the grace period.', 'A flat fee is charged monthly irrespective of spending or repayment.', 'There are always additional fees regardless of payment schedule.']"
What is a Line of Credit?,money a firm may loan at any time where interest is charged only while it was taken out,"['A short-term loan with a fixed repayment schedule.', 'A revolving loan that allows a borrower to repeatedly borrow and repay funds up to a pre-approved limit.', 'A long-term loan secured by collateral.', 'An investment account that earns interest.']"
What is a Line of Credit used for?,reserve in case of lack of funds,"['Bridging short-term cash flow gaps.', 'Funding large capital expenditures.', 'Investing in long-term assets.', 'Paying off existing high-interest debt.', 'All of the above.']"
What is a Term Loan?,loan paid of in intervals,"['A short-term loan repaid in a single lump sum.', 'A loan paid off in intervals.', 'A line of credit used for ongoing expenses.', ""An investment in a company's stock.""]"
What are Bonds?,loans issued by a corporation in packets of $1000,"['Debt instruments representing a loan to a borrower.', 'Equity stakes in a company.', 'Derivatives based on the performance of an asset.', 'Certificates of ownership in a company.']"
